time,Volume fraction
837,0.917725314
838,0.917794838
839,0.91785756
840,0.917913088
841,0.917961281
842,0.91800195
843,0.918034794
844,0.918059735
845,0.918076851
846,0.918085936
847,0.918087043
848,0.918080345
849,0.918066051
850,0.918044386
851,0.918015775
852,0.91798068
853,0.9179398
854,0.917893821
855,0.917843335
856,0.917789034
857,0.917731603
858,0.917671662
859,0.917609757
860,0.917546277
861,0.91748175
862,0.91741671
863,0.917351741
864,0.91728772
865,0.917225375
866,0.917165561
867,0.917109091
868,0.91705652
869,0.91700847
870,0.916965432
871,0.916927645
872,0.916895273
873,0.916868382
874,0.916846873
875,0.91683055
876,0.916819321
877,0.916812957
878,0.91681144
879,0.916814711
880,0.916822642
881,0.91683503
882,0.916851524
883,0.916871708
884,0.916895231
885,0.916921745
886,0.916951043
887,0.916982892
888,0.917017011
889,0.917053215
890,0.917091287
891,0.917130997
892,0.917172171
893,0.917214626
894,0.917258127
895,0.917302478
896,0.917347463
897,0.917392693
898,0.917437639
899,0.917481706
900,0.917524408
901,0.917565543
902,0.917604985
903,0.917642792
904,0.917678998
905,0.917713564
906,0.917746408
907,0.917777296
908,0.917806152
909,0.917832946
910,0.917857405
911,0.917879203
912,0.917897725
913,0.917912406
914,0.917922789
915,0.917928572
916,0.917929668
917,0.917925904
918,0.917916956
919,0.917901061
920,0.917876046
921,0.917843183
922,0.917801203
923,0.917749784
924,0.917685878
925,0.917605305
926,0.917503189
927,0.917375211
928,0.917217764
929,0.917028029
930,0.916805018
931,0.916549325
932,0.916262982
933,0.915948497
934,0.915607277
935,0.91523808
936,0.914835164
937,0.914387637
938,0.913880253
939,0.913295179
940,0.912616879
941,0.911835311
942,0.910951723
943,0.909974611
944,0.908916784
945,0.907786255
946,0.906580176
947,0.905284851
948,0.903885744
949,0.902388207
950,0.900840241
951,0.899307489
952,0.897844443
953,0.89651195
954,0.895381848
955,0.894509079
956,0.893897543
957,0.893521474
958,0.893347805
959,0.893339948
960,0.893465358
961,0.893695057
962,0.8940008
963,0.894362419
964,0.89476223
965,0.895186435
966,0.895619633
967,0.896047315
968,0.896457056
969,0.896835328
